pair_id,build_phase,priority,decision,page_type,topic_cluster,language,page_path,counterpart_path,page_name,primary_keyword,counterpart_primary_keyword,search_intent,funnel_stage,product_codes,product_truth_status,primary_cta,secondary_cta,required_internal_links,sister_site_target,schema_types,css_cluster,analytics_page_type,image_direction,source_basis,implementation_notes
MT001,phase_0,Critical,replace_and_expand,homepage,site_foundation,en,/,/es/,Mindo Tours,Mindo tours Ecuador,tours en Mindo Ecuador,commercial_navigation,bottom,Multiple active products,mixed_active,Explore Mindo activities,Request a custom plan,/tours/ | /activities/ | /mindo-day-trips/ | /mindo-travel-guide/,https://mindobirdwatching.com/,Organization | WebSite | WebPage | BreadcrumbList,home,homepage,"Broad Mindo cloud forest, waterfall, chocolate and adventure scene",Existing homepage plus MindoTours GSC,Replace the coming-soon presentation with a complete bilingual funnel homepage.
MT001,phase_0,Critical,replace_and_expand,homepage,site_foundation,es,/es/,/,Tours en Mindo,tours en Mindo Ecuador,Mindo tours Ecuador,commercial_navigation,bottom,Multiple active products,mixed_active,Explore Mindo activities,Request a custom plan,/tours/ | /activities/ | /mindo-day-trips/ | /mindo-travel-guide/,https://mindobirdwatching.com/,Organization | WebSite | WebPage | BreadcrumbList,home,homepage,"Broad Mindo cloud forest, waterfall, chocolate and adventure scene",Existing homepage plus MindoTours GSC,Replace the coming-soon presentation with a complete bilingual funnel homepage.
MT002,phase_1,High,retain_and_improve,destination_hub,things_to_do,en,/things-to-do-in-mindo/,/es/cosas-que-hacer-en-mindo/,Things to Do in Mindo,things to do in Mindo,qué hacer en Mindo,informational_commercial,middle,MBW011-MBW016 | ACT004 | ACT011 | ACT013 | ACT015-ACT017,active_and_active_pending,Compare activities,Ask for recommendations,/activities/ | /tours/ | /mindo-travel-guide/ | /book-tour/,https://mindobirdwatching.com/activities/,CollectionPage | ItemList | FAQPage | BreadcrumbList,guide,destination_hub,Collage of Mindo activities with placeholders allowed,Existing paired pages plus MBW GSC demand,Keep broad; send detailed birdwatching intent to MBW.
MT002,phase_1,High,retain_and_improve,destination_hub,things_to_do,es,/es/cosas-que-hacer-en-mindo/,/things-to-do-in-mindo/,Cosas que Hacer en Mindo,qué hacer en Mindo,things to do in Mindo,informational_commercial,middle,MBW011-MBW016 | ACT004 | ACT011 | ACT013 | ACT015-ACT017,active_and_active_pending,Compare activities,Ask for recommendations,/activities/ | /tours/ | /mindo-travel-guide/ | /book-tour/,https://mindobirdwatching.com/activities/,CollectionPage | ItemList | FAQPage | BreadcrumbList,guide,destination_hub,Collage of Mindo activities with placeholders allowed,Existing paired pages plus MBW GSC demand,Keep broad; send detailed birdwatching intent to MBW.
MT003,phase_0,Critical,create_missing_hub,commercial_hub,tours,en,/tours/,/es/tours/,Mindo Tours and Guided Experiences,Mindo tours,tours en Mindo,commercial,middle,MBW004-MBW010 | OSO001-OSO002 | Multiple activities,active,View tour options,Request a private itinerary,/private-tours-mindo/ | /mindo-day-trips/ | /activities/ | /book-tour/,https://mindobirdwatching.com/tours/,CollectionPage | ItemList | BreadcrumbList,commercial_hub,commercial_hub,Guided Mindo experience overview,Broken-link audit and product catalog,Required because 23 current internal links point to this missing hub.
MT003,phase_0,Critical,create_missing_hub,commercial_hub,tours,es,/es/tours/,/tours/,Tours y Experiencias Guiadas en Mindo,tours en Mindo,Mindo tours,commercial,middle,MBW004-MBW010 | OSO001-OSO002 | Multiple activities,active,View tour options,Request a private itinerary,/private-tours-mindo/ | /mindo-day-trips/ | /activities/ | /book-tour/,https://mindobirdwatching.com/tours/,CollectionPage | ItemList | BreadcrumbList,commercial_hub,commercial_hub,Guided Mindo experience overview,Broken-link audit and product catalog,Required because 23 current internal links point to this missing hub.
MT004,phase_0,Critical,create_missing_hub,commercial_hub,activities,en,/activities/,/es/actividades/,Mindo Activities,Mindo activities,actividades en Mindo,commercial,middle,MBW011-MBW016 | ACT004 | ACT009-ACT017,active_and_active_pending,Explore activities,Build a mixed itinerary,/things-to-do-in-mindo/ | /tours/ | /book-tour/,https://mindobirdwatching.com/activities/,CollectionPage | ItemList | BreadcrumbList,commercial_hub,commercial_hub,Activity-card grid with category imagery,Broken-link audit and product catalog,Required because current pages already link to this missing hub.
MT004,phase_0,Critical,create_missing_hub,commercial_hub,activities,es,/es/actividades/,/activities/,Actividades en Mindo,actividades en Mindo,Mindo activities,commercial,middle,MBW011-MBW016 | ACT004 | ACT009-ACT017,active_and_active_pending,Explore activities,Build a mixed itinerary,/things-to-do-in-mindo/ | /tours/ | /book-tour/,https://mindobirdwatching.com/activities/,CollectionPage | ItemList | BreadcrumbList,commercial_hub,commercial_hub,Activity-card grid with category imagery,Broken-link audit and product catalog,Required because current pages already link to this missing hub.
MT005,phase_0,Critical,retain_en_create_es,lead_form,conversion,en,/book-tour/,/es/reservar-tour/,Book a Tour in Mindo,book Mindo tour,reservar tour en Mindo,transactional,bottom,Multiple active products,mixed_active,Send booking request,WhatsApp,/tours/ | /activities/ | /private-tours-mindo/,https://mindobirdwatching.com/contact/,WebPage | ContactPage | BreadcrumbList,conversion,lead_form,Friendly guide or planning consultation,Existing EN form and shared MBW lead destination,Both languages must use the same secure Pages Function and attribution fields.
MT005,phase_0,Critical,retain_en_create_es,lead_form,conversion,es,/es/reservar-tour/,/book-tour/,Reservar un Tour en Mindo,reservar tour en Mindo,book Mindo tour,transactional,bottom,Multiple active products,mixed_active,Send booking request,WhatsApp,/tours/ | /activities/ | /private-tours-mindo/,https://mindobirdwatching.com/contact/,WebPage | ContactPage | BreadcrumbList,conversion,lead_form,Friendly guide or planning consultation,Existing EN form and shared MBW lead destination,Both languages must use the same secure Pages Function and attribution fields.
MT006,phase_0,Critical,replace_empty_create_es,contact_page,conversion,en,/contact/,/es/contacto/,Contact Mindo Tours,contact Mindo Tours,contactar tours en Mindo,transactional,bottom,Multiple active products,mixed_active,Send an inquiry,WhatsApp,/book-tour/ | /tours/ | /activities/,https://mindobirdwatching.com/contact/,ContactPage | Organization | BreadcrumbList,conversion,contact_page,Simple team or cloud-forest contact visual,Current contact page is empty,Route into MBW while retaining source_site=mindotours.
MT006,phase_0,Critical,replace_empty_create_es,contact_page,conversion,es,/es/contacto/,/contact/,Contacto Mindo Tours,contactar tours en Mindo,contact Mindo Tours,transactional,bottom,Multiple active products,mixed_active,Send an inquiry,WhatsApp,/book-tour/ | /tours/ | /activities/,https://mindobirdwatching.com/contact/,ContactPage | Organization | BreadcrumbList,conversion,contact_page,Simple team or cloud-forest contact visual,Current contact page is empty,Route into MBW while retaining source_site=mindotours.
MT007,phase_2,Medium,retain_en_create_es,about_page,trust,en,/about/,/es/sobre-nosotros/,About Mindo Tours,Mindo local tour team,equipo local de tours Mindo,informational,top,,not_applicable,Explore tours,Contact the team,/tours/ | /things-to-do-in-mindo/ | /contact/,https://mindobirdwatching.com/about/,AboutPage | Organization | BreadcrumbList,trust,about_page,Local team and destination context,Existing EN page and sister-site trust,Avoid unsupported credentials or review claims.
MT007,phase_2,Medium,retain_en_create_es,about_page,trust,es,/es/sobre-nosotros/,/about/,Sobre Mindo Tours,equipo local de tours Mindo,Mindo local tour team,informational,top,,not_applicable,Explore tours,Contact the team,/tours/ | /things-to-do-in-mindo/ | /contact/,https://mindobirdwatching.com/about/,AboutPage | Organization | BreadcrumbList,trust,about_page,Local team and destination context,Existing EN page and sister-site trust,Avoid unsupported credentials or review claims.
MT008,phase_1,High,create_missing_hub,travel_guide_hub,travel_planning,en,/mindo-travel-guide/,/es/guia-de-viaje-mindo/,Mindo Travel Guide,Mindo travel guide,guía de viaje Mindo,informational,top,,not_applicable,Plan your visit,See tours,/how-to-get-to-mindo/ | /best-time-to-visit-mindo/ | /things-to-do-in-mindo/ | /mindo-itinerary-one-day/,https://mindobirdwatching.com/mindo-travel-guide/,CollectionPage | ItemList | BreadcrumbList,guide_hub,travel_guide_hub,Map-style Mindo planning overview,Broken-link audit and existing guide pages,Required because current pages already link to this missing guide hub.
MT008,phase_1,High,create_missing_hub,travel_guide_hub,travel_planning,es,/es/guia-de-viaje-mindo/,/mindo-travel-guide/,Guía de Viaje de Mindo,guía de viaje Mindo,Mindo travel guide,informational,top,,not_applicable,Plan your visit,See tours,/how-to-get-to-mindo/ | /best-time-to-visit-mindo/ | /things-to-do-in-mindo/ | /mindo-itinerary-one-day/,https://mindobirdwatching.com/mindo-travel-guide/,CollectionPage | ItemList | BreadcrumbList,guide_hub,travel_guide_hub,Map-style Mindo planning overview,Broken-link audit and existing guide pages,Required because current pages already link to this missing guide hub.
MT009,phase_1,High,retain_and_improve,commercial_guide,day_trips,en,/mindo-day-trips/,/es/excursiones-de-un-dia-mindo/,Mindo Day Trips,Mindo day trip from Quito,tour a Mindo desde Quito,commercial,middle,TRANS03 | TRANS06 | Multiple activities,active_mixed_checkout,Compare day-trip options,Request a custom day,/quito-to-mindo-transport/ | /things-to-do-in-mindo/ | /private-tours-mindo/ | /book-tour/,https://mindobirdwatching.com/mindo-day-tour-from-quito/,TouristTrip | FAQPage | BreadcrumbList,commercial_guide,commercial_guide,Quito-to-Mindo day-trip journey,Existing paired pages and MBW GSC demand,Clarify inclusions and do not imply transport is included unless selected.
MT009,phase_1,High,retain_and_improve,commercial_guide,day_trips,es,/es/excursiones-de-un-dia-mindo/,/mindo-day-trips/,Excursiones de un Día a Mindo,tour a Mindo desde Quito,Mindo day trip from Quito,commercial,middle,TRANS03 | TRANS06 | Multiple activities,active_mixed_checkout,Compare day-trip options,Request a custom day,/quito-to-mindo-transport/ | /things-to-do-in-mindo/ | /private-tours-mindo/ | /book-tour/,https://mindobirdwatching.com/mindo-day-tour-from-quito/,TouristTrip | FAQPage | BreadcrumbList,commercial_guide,commercial_guide,Quito-to-Mindo day-trip journey,Existing paired pages and MBW GSC demand,Clarify inclusions and do not imply transport is included unless selected.
MT010,phase_1,High,retain_and_improve,commercial_page,private_tours,en,/private-tours-mindo/,/es/tours-privados-mindo/,Private Tours in Mindo,private tours Mindo,tours privados Mindo,commercial,bottom,MBW007 | MBW008,active,Request a private tour,Compare tour ideas,/tours/ | /mindo-day-trips/ | /book-tour/,https://mindobirdwatching.com/tours/custom-private-tour/,TouristTrip | Service | FAQPage | BreadcrumbList,commercial,commercial_page,Private guide with flexible group,Existing paired pages and active custom products,Keep pricing conditional on scope and group.
MT010,phase_1,High,retain_and_improve,commercial_page,private_tours,es,/es/tours-privados-mindo/,/private-tours-mindo/,Tours Privados en Mindo,tours privados Mindo,private tours Mindo,commercial,bottom,MBW007 | MBW008,active,Request a private tour,Compare tour ideas,/tours/ | /mindo-day-trips/ | /book-tour/,https://mindobirdwatching.com/tours/custom-private-tour/,TouristTrip | Service | FAQPage | BreadcrumbList,commercial,commercial_page,Private guide with flexible group,Existing paired pages and active custom products,Keep pricing conditional on scope and group.
